qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,car_condition,driver_condition,position_q1,previous_year_position_q1,circuitref_fastlap,driver_time_vs_fastlap,car_time_vs_fastlap,previous_driver_time_vs_fastlap,previous_car_time_vs_fastlap,q2disqualified,driver_q2vsq1,car_q2vsq1,previous_driver_q2vsq1,previous_car_q2vsq1,position_q2,previous_year_position_q2,q3disqualified,driver_q3vsq2,car_q3vsq2,previous_driver_q3vsq2,previous_car_q3vsq2,position_q3,previous_year_position_q3,q1,q2,q3
9538.0,1092,1.0,131.0,11.0,2022.0,18.0,22.0,suzuka,55.0,45.0,11.0,20.0,88877.0,2029.0,2008.5,0.0,0.0,0,-463.0,-431.5,0.0,0.0,10.0,20.0,0,-182.0,-129.0,0.0,0.0,16.0,20.0,90906.0,90443.0,90261.0
9540.0,1092,847.0,131.0,7.0,2022.0,18.0,22.0,suzuka,55.0,65.0,7.0,20.0,88877.0,1988.0,2008.5,0.0,0.0,0,-400.0,-431.5,0.0,0.0,12.0,20.0,1,-76.0,-129.0,0.0,0.0,18.0,20.0,90865.0,90465.0,90389.0
9539.0,1092,4.0,214.0,4.0,2022.0,18.0,22.0,suzuka,75.0,80.0,4.0,20.0,88877.0,1726.0,1772.5,0.0,0.0,0,-260.0,-299.5,0.0,0.0,7.0,20.0,0,-21.0,-106.5,0.0,0.0,17.0,20.0,90603.0,90343.0,90322.0
9537.0,1092,839.0,214.0,6.0,2022.0,18.0,22.0,suzuka,75.0,70.0,6.0,20.0,88877.0,1819.0,1772.5,0.0,0.0,0,-339.0,-299.5,0.0,0.0,9.0,20.0,0,-192.0,-106.5,0.0,0.0,15.0,20.0,90696.0,90357.0,90165.0
9541.0,1092,20.0,117.0,15.0,2022.0,18.0,22.0,suzuka,15.0,25.0,15.0,20.0,88877.0,2379.0,2460.5,0.0,0.0,0,-600.0,-300.0,0.0,0.0,15.0,20.0,1,-102.0,-51.0,0.0,0.0,19.0,20.0,91256.0,90656.0,90554.0
9551.0,1092,840.0,117.0,19.0,2022.0,18.0,22.0,suzuka,15.0,5.0,19.0,20.0,88877.0,2542.0,2460.5,0.0,0.0,1,0.0,-300.0,0.0,0.0,19.0,20.0,1,0.0,-51.0,0.0,0.0,5.5,20.0,91419.0,0.0,0.0
9536.0,1092,815.0,9.0,5.0,2022.0,18.0,22.0,suzuka,85.0,75.0,5.0,20.0,88877.0,1745.0,1546.0,0.0,0.0,0,-697.0,-287.5,0.0,0.0,6.0,20.0,0,-216.0,-629.0,0.0,0.0,14.0,20.0,90622.0,89925.0,89709.0
9533.0,1092,830.0,9.0,1.0,2022.0,18.0,22.0,suzuka,85.0,95.0,1.0,20.0,88877.0,1347.0,1546.0,0.0,0.0,0,122.0,-287.5,0.0,0.0,8.0,20.0,0,-1042.0,-629.0,0.0,0.0,11.0,20.0,90224.0,90346.0,89304.0
9543.0,1092,817.0,1.0,8.0,2022.0,18.0,22.0,suzuka,57.5,60.0,8.0,20.0,88877.0,2003.0,2003.5,0.0,0.0,0,-221.0,-314.5,0.0,0.0,16.0,20.0,1,0.0,265.0,0.0,0.0,5.5,20.0,90880.0,90659.0,0.0
9542.0,1092,846.0,1.0,9.0,2022.0,18.0,22.0,suzuka,57.5,55.00000000000001,9.0,20.0,88877.0,2004.0,2003.5,0.0,0.0,0,-408.0,-314.5,0.0,0.0,13.0,20.0,1,530.0,265.0,0.0,0.0,20.0,20.0,90881.0,90473.0,91003.0
9544.0,1092,822.0,51.0,14.0,2022.0,18.0,22.0,suzuka,40.0,30.0,14.0,20.0,88877.0,2349.0,2183.0,0.0,0.0,0,-517.0,-229.0,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91226.0,90709.0,0.0
9546.0,1092,855.0,51.0,10.0,2022.0,18.0,22.0,suzuka,40.0,50.0,10.0,20.0,88877.0,2017.0,2183.0,0.0,0.0,0,59.0,-229.0,0.0,0.0,19.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,90894.0,90953.0,0.0
9550.0,1092,825.0,210.0,18.0,2022.0,18.0,22.0,suzuka,22.5,10.0,18.0,20.0,88877.0,2475.0,2375.0,0.0,0.0,1,0.0,143.5,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91352.0,0.0,0.0
9547.0,1092,854.0,210.0,13.0,2022.0,18.0,22.0,suzuka,22.5,35.0,13.0,20.0,88877.0,2275.0,2375.0,0.0,0.0,0,287.0,143.5,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91152.0,91439.0,0.0
9535.0,1092,832.0,6.0,2.0,2022.0,18.0,22.0,suzuka,87.5,90.0,2.0,20.0,88877.0,1459.0,1492.0,0.0,0.0,0,108.0,96.0,0.0,0.0,11.0,20.0,1,-1083.0,-1127.5,0.0,0.0,13.0,20.0,90336.0,90444.0,89361.0
9534.0,1092,844.0,6.0,3.0,2022.0,18.0,22.0,suzuka,87.5,85.0,3.0,20.0,88877.0,1525.0,1492.0,0.0,0.0,0,84.0,96.0,0.0,0.0,14.0,20.0,1,-1172.0,-1127.5,0.0,0.0,12.0,20.0,90402.0,90486.0,89314.0
9549.0,1092,842.0,213.0,17.0,2022.0,18.0,22.0,suzuka,27.5,15.0,17.0,20.0,88877.0,2445.0,2349.0,0.0,0.0,1,0.0,-161.0,0.0,0.0,17.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91322.0,0.0,0.0
9545.0,1092,852.0,213.0,12.0,2022.0,18.0,22.0,suzuka,27.5,40.0,12.0,20.0,88877.0,2253.0,2349.0,0.0,0.0,0,-322.0,-161.0,0.0,0.0,18.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91130.0,90808.0,0.0
9548.0,1092,848.0,3.0,16.0,2022.0,18.0,22.0,suzuka,10.0,20.0,16.0,20.0,88877.0,2434.0,2534.0,0.0,0.0,1,0.0,0.0,0.0,0.0,16.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91311.0,0.0,0.0
9552.0,1092,849.0,3.0,20.0,2022.0,18.0,22.0,suzuka,10.0,0.0,20.0,20.0,88877.0,2634.0,2534.0,0.0,0.0,1,0.0,0.0,0.0,0.0,20.0,20.0,1,0.0,0.0,0.0,0.0,5.5,20.0,91511.0,0.0,0.0
9915.0,1113,1.0,131.0,0.0,2024.0,4.0,22.0,suzuka,100.0,100.0,2.0,11.0,88877.0,,,2029.0,2008.5,0,,,-463.0,-431.5,4.0,10.0,0,,,-182.0,-129.0,,16.0,90657.09375,91073.84,
